text,toxic
quando eu n茫o tenho onde ir com o @user,0
"""arábia saudita passa a permitir que mulheres viajem sem autorização masculina""  https://t.co/0np2stclkz",0
@user pqp hein...,0
@user ficou perfeito aa,0
"Daqui a pouco vai colocar eu e o Luan para fora de casa. Eu falando assim vão pensar que minha filha é um monstro, tira essa ciumeira das roupas dela e a bicha é muito carinhosa ❤️",0
"@user achei q bateu foi pouco, ainda dava p mandar uns 30 socos de boa nessa escória, câncer maldito",1
gente eu tô achando que não sai nada do ioi esse ano porque já deu tempo de acabar as promoções da chungha e nada sabe,0
"coisa mais lindx desse mundo, vamos se comer?",0
rt @user to ficando preocupada desde ontem q ele nn me responde e n atende aaaaaa cadê esse desgraçado,0
"pqp eu só consigo pensar no derby, amh os vizinhos vão reclamar cmg certeza mas to nei ai fodasi mano é classico 🔪🖤",0
e também quase infartei com com o masculino! puta que pariu! eu amo @user !,0
"Esses materiais que o Le Monde faz são sensacionais. Esse é de como Cecilia Payne descobriu que as estrelas são feitas principalmente de Hidrogênio e um cara fdp fez ela duvidar desse resultado e dps foi lá e publicou com artigo com a descoberta dela 😒😡

https://t.co/d4JWcKFnBi",0
algum velho caduco online???? 茅 pro meu tcc (colocando bauman em minha pesquisa,0
@user e tu tá ligada que ele ainda paga de desconstruído mesmo tendo uma produção que claramente é podre nesse sentido,0
"mnr tem como comprar o telefone e pegar no mesmo dia, ja quero",0
a única parte ruim é que garanto q de noite vai estar um frio da porra,0
rt @user tem coisas que eu não consigo ter outra reação além de ?????????????????????????????????????????????????????????????????????…,0
vai se fuder que time ruim cadê o freire e o hawk seus zé ruela,1
eu não vejo mais graça em quaser porra nenhuma,0
"rt @user vôlei é uma bosta, tomar no cu",0
puto e bolado mas tudo vem p ensina... sigo aprendendo,0
kkkkkk vai toma no cú,1
o desgraçado é um gênio https://t.co/5vrqhbty62,0
@user que isso porra tu so tem 12 anos,0
vc tem cara de q bate nuns viadinho,1
essa mulher é perfeita pqp,0
"@user não acredito que está comparando lula e dilma com bolsonaro? nunca vi tanta imundície, tbm de onde vc veio é de se esperar",1
acordei no horario errado pqp to brava https://t.co/vcs9x4we8y,0
rt @user @user comendo o amigo no banheiro do escritório. # atolei e ainda fiz a chuca nele.kkkk https://t.co/xxpnq5…,1
"@user @user O cansaço do time e Gabriel machucado acabou sendo decisivos, quando ele ta 100% se movimenta muito, Bruno Henrique la de centro avante não é o melhor para ele. Minha opinião",0
"mano pqp minha namorada me estressa tanto mais tanto que acho que vou pular da janela!
obs: pena que não é alta a janela affs!",1
sustente suas ideias??????!!!!,0
que?? — eu respondi o cu errado https://t.co/tk68hx9osj,1
"isto é um lomotif de vdd, o resto é resto",0
rt @user sâmia: ‘bolsonaro subverte a lógica do desmatamento e não demite quem deveria: ricardo salles’ https://t.co/s1psufljvh,0
@user ainda por cima foste ver o tony without me,0
@user podre que nem todos os outros androids,0
puta que me pariu vsf eu n trabalho pra vc.,1
"aqui em casa reclamam at茅 se eu respirar, porra",0
caralho eu to chapado ou o maluco é o det de uma dimensão alternativa,0
rt @user vc é mt meu bb    mas porra   tu me tira do sério,0
"Unpopular opinion: ficar pedindo stream e views toda hora é chato pra caralho. Você ajuda se puder/quiser, isso não te faz mais ou menos army",0
"- Zayn, teve transtorno alimentar e ansiedade

- Liam, teve depressão

- Niall, foi obrigado a ficar loiro 

- Harry e o Louis, nos sabemos bem da história deles

Eu amo tanto vocês e sinto tanto pelo que vcs foram obrigados a passar durante esses anos

#ExposingMIndustry https://t.co/ezArtdCuTU",0
"@user Agora vamo falar a real, voces tambem se esquecem TODA VEZ de colocar a porra do link do apoia .se pra nego ajudar. Facilitem as coisas, padronizem uma descricao para cada episodio com todos os links minimos: instagram, apoiase, email, etc.",0
"@user Esqueceu de dizer: vcs vão continuar a chorar BABACA!!! Bolsonaro até 2026!!! #SomosTodosMoroEDallagnol 
#SomosTodosBolsonaro e pra não esquecer, #OLulaTaPresoBabaca",1
"@user BOMBA! 

Palocci em dela莽茫o premiada afirma que R脕KER, 茅 esquerdopata e esconde em conta secreta 300 trilh玫es de reais em nome do lula e seus filhos (n茫o os nomes deles). 

Pois 茅....",0
"Puta que pariu mas que cara burro

Ernesto Ara煤jo nega aquecimento global: 'Fui a Roma em maio e havia uma onda de frio' https://t.co/U0lyJNfLsf",0
rt @user ai caralho meu sonho https://t.co/pzl4wit3w1,0
te amo um mundo fdp,0
"@user Correto. Porém o liberalismo, de onde o libertarianismo bebe em parte, é de direita… e parente do utilitarismo e minarquismo. O que mais o AnCap detesta na direita é a feição estatista e coletivista do Conservadorismo…",0
"lorenne perdeu a confiança, macris a precisão, mara nao faz nada. 
é roberta/borgo e mayany para o tie break porra!!",0
o seu pai tá almoçando........,0
"Pelo contrário do q o Edgar acha: nós conseguimos sim formar nossa própria opinião, e minha opinião é q o Edgar é sem dúvida o pior jornalista da Jovem Pan. Ele n contra argumenta, o que ele quer é derrubar quem é contrário a ele, principalmente se for o Caio.
#MorningCompleto https://t.co/MAqySSRSK9",0
"rt @user - ta com raiva?
- não.
- então olha pra mim.
- https://t.co/b6ttnzueqy",0
"ngm tem ideia do tanto que to mal, o tanto q sofro com isso pqp",1
@user to esperando me ver livre daquela porra faz tempo,0
"rt @user sou fã  desse gordinho, tnc bala nos polícia https://t.co/c3jqtsbpj5",0
"rt @user mlq eu bato palma p mim pq caralho, sou mulher p caralho",0
"olha esse lançamento mano pqp 

https://t.co/yepljh2iwe",0
@user pensa em algo que te deixa felizinha que eu tento fazer,0
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user .@user

Não existe UM anti-Lula honesto, NENHUM
. https://t.co/0Gd2LFOvHE",1
atualmente fazendo tudo aquilo que eu sempre disse que jamais faria,0
@user saber condição financeira ou se é longe demais pra ir na sua casa. já me aconteceu dos dois modos e já me deram fora por ser pobre ou por morar longe demais e não quererem gastar tempo (apesar de que eu não chamo ninguém pra vir me buscar).,0
"eles vão resgatar todos maconheiros, levar pra saturno, cultivar maconha nos seus anéis e chapar pra caralho",0
@user @user @user pode me mamar com gosto por favor,1
"ainda bem que faltam 5 meses pra essa porra acabar, não suporto mais #5mesespra2020eeu",0
"@user duvivier kkkkk ninguém conhece vc, trouxa PTralha 👉🏼💩! Os  ""Paraíbas"" e o Brasil amam o Mito @user É o fim do PT e da boquinha do tal duvivier @user @user @user @user RT @user @user Baiano é inteligente 🧠👍🏼 https://t.co/gPmzt3xvJw",1
eu quando vejo algum v*tt*rl*v*r na  tl,0
"saiu do vasco por causa de salários atrasados, agora vai ir p time que nem salário paga. kjjkkkk tem q se fuder msm",1
"@user Sim???? Não é o perfil deles, n tem necessidade disso quando eles claramente tem tranquilidade e público pra vir pra show solo",0
rt @user deixa eu foder tua boca? https://t.co/qwehzua6pw,1
"@user @user E o impeachment dos ministros do @user , senador? Sabemos que vc é aspone do criminosos Renan portanto qualquer coisa que vier de vc é malandragem. BATORÉ CANALHA",1
essa é a minha pessoa,0
vamo pra tóquio caralho,0
caralho marcelly deu sinal de vida. 🙄,0
esse cara é muito sem noção pqp,1
chegue a conclus茫o que n茫o posso ouvir mic drop em p煤blico rs,0
"Meto a 3a vez e vai saindo leite, continuo atė gozar de novo, gerente puta!
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user https://t.co/DhY1cV4v19",1
buceta pra q se n tem #ele pra chupar,1
rt @user onde pode ter mais espaço no banco https://t.co/qnxma1bweb,0
"se tem uma coisa que eu aprendi na vida é que vc tem que deixar a pessoa livre pra escolher oq quer. laço quando aperta, vira nó !",0
"como dizem por aí, to nem aí pra porra nenhumaaaaa",0
@user caralho que medo kkkkvkk como já conheço minha prof vou focar no seminário pq a prova dela é feita a punho pelo capeta,0
"@user Esse @user é a instituição mais abominada desse país( pela pessoas de bem, é claro!, porquê bandidos adoram)...em compensação a #lavajato é a mais amada...estamos com vc amado procurador @user ... que Deus o proteja dos infames e invejosos!...",1
tandara 茅 fodaaa pqp,0
@user nem vem com cu doce pq meu pau é diabético,1
vocês falam fazer amor ou foder? dependendo do meu humor eu mudo. hoje o mood tá mais pra primeira opção,0
@user @user Mas também é cada pergunta e cada pauta idiota. Vocês acham que o Presidente é sem noção ? Conheçam minhas ex e chefes. Kkkkkk aí saberão o que é gente que fala o que pensa.,1
"rt @user caralho

a tampa abre

e depois ela fecha

é tudo que eu espero de uma tampa

obrigado tampa https://t.co/vep7biy23l",0
"coletiva com @user em 02/08.
#stfvergonhanacional

https://t.co/9fmhqo7ymp",0
"não precisa engolir nada não, mo. você nem aguenta, ele é muito bom pra você bjs",0
rt @user a raiva que eu sinto desse fdp é inexplicável https://t.co/bv1vi9at8f,0
que mal te fiz eu pra me tratar assim como farrapo um vagabundo pobre coitado,0
euzinho todo,0
rt @user a arte nova pro show da ludmila tá ficando linda pra porra,0
vivem nababescamente as nossas custas e protegem ladrões e bandidos #stfvergonhanacional,0
@user @user filha da puta eu to perto da minha vó,1
n vou negar que queria,0
to vendo q esse final de semana vou sumir kkkk,0
"olha eu n茫o tenho maturidade pra ver essas coisas, eu fico muito mal",0
"@user bicha, é sério? hhahahahahaha",0
